liczba_izb,nr_kondygnacji,calkowita_powierzchnia,wsp_x,wsp_y,adres_miejscowosc,adres_ulica,adres_numer,bud_id,dzialka_id,dzialka_mpzp,dzialka_sposob_uzytkowania,n_udzial_str,is_market_transaction,data_dokumentu,powierzchnia_final,osiedle,ma_pomieszczenia_przynalezne,rok,rok_miesiac_float,cena_za_m2,is_pierwotny,is_uzytkowanie_wieczyste,sprzedajacy_firma,sprzedajacy_jst,sprzedajacy_osoba,is_wielorodzinny,osiedle_cat
2.0,3.0,41.77,5809015.53,6425911.728,Poznań,ul. Juliusza Słowackiego,7,,,,,1/1,True,2023-10-23,41.77,Jeżyce,0,2023,2023.75,14865.1496,0,0,0,1,0,0,8
1.0,2.0,29.76,5808870.665,6425686.379,Poznań,ul. Zwierzyniecka,15,,,,,1/1,True,2023-09-27,29.76,Jeżyce,0,2023,2023.6666666666667,13607.663600021506,0,0,0,1,0,0,8
1.0,5.0,41.86,5808870.665,6425686.379,Poznań,ul. Zwierzyniecka,15,,,,,1/1,True,2023-09-25,41.86,Jeżyce,0,2023,2023.6666666666667,14732.380115665554,0,0,0,1,0,0,8
2.0,4.0,45.62,5810322.985,6422862.314,Poznań,ul. Janusza Meissnera,6E,,,,,1/1,True,2023-09-05,45.62,Wola,0,2023,2023.6666666666667,8709.659172517317,0,0,0,1,0,0,35
3.0,6.0,76.08,5809680.88,6425462.749,Poznań,ul. Stanisława Barańczaka,1B,,,,,1/1,True,2023-09-12,76.08,Jeżyce,0,2023,2023.6666666666667,12058.48056,0,0,0,1,0,0,8
2.0,3.0,38.22,5813347.34,6429028.889,Poznań,ul. Czarnucha,23A,,,,,1/1,True,2023-08-16,38.22,Naramowice,0,2023,2023.5833333333333,7749.202736410256,0,0,0,1,0,0,15
3.0,3.0,55.09,5809680.88,6425462.749,Poznań,ul. Stanisława Barańczaka,1B,,,,,1/1,True,2023-09-12,55.09,Jeżyce,0,2023,2023.6666666666667,9666.33873606099,0,0,0,1,0,0,8
3.0,5.0,77.82,5809680.88,6425462.749,Poznań,ul. Stanisława Barańczaka,1,,,,,1/1,True,2023-09-12,77.82,Jeżyce,0,2023,2023.6666666666667,10165.755751117966,0,0,0,1,0,0,8
2.0,6.0,55.21,5809680.88,6425462.749,Poznań,ul. Stanisława Barańczaka,1,,,,,1/1,True,2023-09-07,55.21,Jeżyce,0,2023,2023.6666666666667,6088.685151240717,0,0,0,1,0,0,8
2.0,5.0,61.25,5809680.88,6425462.749,Poznań,ul. Stanisława Barańczaka,1A,,,,,1/1,True,2023-09-07,61.25,Jeżyce,0,2023,2023.6666666666667,7513.072,0,0,0,1,0,0,8
3.0,5.0,86.49,5809680.88,6425462.749,Poznań,ul. Stanisława Barańczaka,1A,,,,,1/1,True,2023-09-07,86.49,Jeżyce,0,2023,2023.6666666666667,8871.623495691989,0,0,0,1,0,0,8
2.0,6.0,55.3,5809680.88,6425462.749,Poznań,ul. Stanisława Barańczaka,1B,,,,,1/1,True,2023-09-05,55.3,Jeżyce,0,2023,2023.6666666666667,9800.089157670885,0,0,0,1,0,0,8
2.0,3.0,52.830000000000005,5813347.34,6429028.889,Poznań,ul. Czarnucha,23,,,,,1/1,True,2023-08-16,49.38,Naramowice,1,2023,2023.5833333333333,7781.396,0,0,0,1,0,0,15
4.0,1.0,63.24,5813295.755,6429023.594,Poznań,ul. Czarnucha,21,,,,,1/1,True,2023-09-07,63.24,Naramowice,0,2023,2023.6666666666667,7319.87872,0,0,0,1,0,0,15
1.0,3.0,26.25,5809357.555,6425341.547,Poznań,ul. Jana Henryka Dąbrowskiego,58,,,,,1/1,True,2023-11-02,26.25,Jeżyce,0,2023,2023.8333333333333,12750.75648,0,0,0,1,0,0,8
3.0,3.0,68.63,5809357.555,6425341.547,Poznań,ul. Jana Henryka Dąbrowskiego,58,,,,,1/1,True,2023-11-03,68.63,Jeżyce,0,2023,2023.8333333333333,11226.913870901939,0,0,0,1,0,0,8
1.0,3.0,27.34,5809357.555,6425341.547,Poznań,ul. Jana Henryka Dąbrowskiego,58,,,,,1/1,True,2023-11-03,27.34,Jeżyce,0,2023,2023.8333333333333,10410.9712,0,0,0,1,0,0,8
1.0,5.0,28.5,5809357.555,6425341.547,Poznań,ul. Jana Henryka Dąbrowskiego,58,,,,,1/1,True,2023-11-03,28.5,Jeżyce,0,2023,2023.8333333333333,11279.768535466666,0,0,0,1,0,0,8
1.0,5.0,20.9,5808384.355,6427064.96,Poznań,ul. Piekary,13b,,,,,1/1,True,2023-10-26,20.9,Stare Miasto,0,2023,2023.75,17314.47269665072,0,0,0,1,0,0,26
2.0,5.0,19.01,5808384.355,6427064.96,Poznań,ul. Piekary,13b,,,,,1/1,True,2023-10-26,19.01,Stare Miasto,0,2023,2023.75,19755.195707522358,0,0,0,1,0,0,26
4.0,2.0,66.1,5813527.585,6428857.72,Poznań,ul. Czarnucha,6,,,,,1/1,True,2023-10-26,66.1,Naramowice,0,2023,2023.75,12989.966717095313,0,0,0,1,0,0,15
3.0,4.0,78.17,5805181.86,6422398.566,Poznań,ul. Ceglana,5,,,,,1/1,True,2023-10-10,78.17,Górczyn,0,2023,2023.75,12642.636015862863,0,0,0,1,0,0,5
3.0,3.0,46.72,5806423.095,6429180.655,Poznań,ul. Morzyczańska,3A,,,,,1/1,True,2023-10-12,46.72,Żegrze,0,2023,2023.75,10567.554794520549,0,0,0,1,0,0,40
3.0,2.0,52.59,5805181.86,6422398.566,Poznań,ul. Ceglana,5,,,,,1/1,True,2023-10-18,52.59,Górczyn,0,2023,2023.75,11669.721483171706,0,0,0,1,0,0,5
2.0,3.0,50.75,5805181.86,6422398.566,Poznań,ul. Ceglana,5,,,,,1/1,True,2023-10-25,50.75,Górczyn,0,2023,2023.75,12056.444998620691,0,0,0,1,0,0,5
3.0,4.0,48.79,5805181.86,6422398.566,Poznań,ul. Ceglana,5,,,,,1/1,True,2023-10-25,48.79,Górczyn,0,2023,2023.75,12295.387718794836,0,0,0,1,0,0,5
3.0,1.0,41.65,5807359.65,6429242.075,Poznań,ul. Czesława Niemena,6,,,,,1/1,True,2023-10-06,41.65,Rataje,0,2023,2023.75,11441.618823529412,0,0,0,1,0,0,24
1.0,6.0,31.85,5807359.65,6429242.075,Poznań,ul. Czesława Niemena,6,,,,,1/1,True,2023-10-09,31.85,Rataje,0,2023,2023.75,12569.526153846153,0,0,0,1,0,0,24
2.0,3.0,41.85,5809357.555,6425341.547,Poznań,ul. Jana Henryka Dąbrowskiego,58,,,,,1/1,True,2023-11-08,41.85,Jeżyce,0,2023,2023.8333333333333,10249.9768,0,0,0,1,0,0,8
1.0,2.0,33.63,5809357.555,6425341.547,Poznań,ul. Jana Henryka Dąbrowskiego,58,,,,,1/1,True,2023-11-08,33.63,Jeżyce,0,2023,2023.8333333333333,11169.076260481712,0,0,0,1,0,0,8
1.0,1.0,29.65,5809357.555,6425341.547,Poznań,ul. Jana Henryka Dąbrowskiego,58,,,,,1/1,True,2023-11-08,29.65,Jeżyce,0,2023,2023.8333333333333,10379.36960107926,0,0,0,1,0,0,8
1.0,3.0,40.03,5809357.555,6425341.547,Poznań,ul. Jana Henryka Dąbrowskiego,58,,,,,1/1,True,2023-11-08,40.03,Jeżyce,0,2023,2023.8333333333333,9881.836272,0,0,0,1,0,0,8
4.0,1.0,83.14,5802896.82,6422000.871,Poznań,ul. Kotowo,42JT,,,,,1/1,True,2023-10-18,83.14,Fabianowo-Kotowo,0,2023,2023.75,8003.839629732981,0,0,0,1,0,0,2
1.0,2.0,38.38,5809357.555,6425341.547,Poznań,ul. Jana Henryka Dąbrowskiego,58,,,,,1/1,True,2023-11-08,38.38,Jeżyce,0,2023,2023.8333333333333,10372.42035404273,0,0,0,1,0,0,8
1.0,2.0,31.25,5808674.236,6426943.281,Poznań,ul. Święty Marcin,32,,,,,1/1,True,2023-10-31,31.25,Stare Miasto,0,2023,2023.75,13714.593460736001,0,0,0,1,0,0,26
2.0,1.0,43.6,5806416.93,6424187.726,Poznań,ul. Górczyńska,17,,,,,1/1,True,2023-10-09,43.6,Górczyn,0,2023,2023.75,13757.143798165138,0,0,0,1,0,0,5
3.0,6.0,78.57,5807955.996,6425353.816,Poznań,ul. Śniadeckich,10C,,,,,1/1,True,2023-09-15,78.57,Łazarz,0,2023,2023.6666666666667,20375.751245928983,0,0,0,1,0,0,38
2.0,6.0,67.51,5807955.996,6425353.816,Poznań,ul. Śniadeckich,10C,,,,,1/1,True,2023-09-21,67.51,Łazarz,0,2023,2023.6666666666667,20607.2832,0,0,0,1,0,0,38
5.0,4.0,67.7,5812470.564,6427501.007,Poznań,os. Wichrowe Wzgórze,34,,,,,1/1,True,2023-10-27,64.9,Nowe Winogrady Północ,1,2023,2023.75,8913.814237288134,0,0,0,1,0,0,17
3.0,5.0,77.58,5809680.88,6425462.749,Poznań,ul. Stanisława Barańczaka,1A,,,,,1/1,True,2023-09-12,77.58,Jeżyce,0,2023,2023.6666666666667,11007.086273039444,0,0,0,1,0,0,8
4.0,2.0,104.79,5809680.88,6425462.749,Poznań,ul. Stanisława Barańczaka,1,,,,,1/1,True,2023-09-12,104.79,Jeżyce,0,2023,2023.6666666666667,9480.255593437541,0,0,0,1,0,0,8
3.0,2.0,55.34,5813295.755,6429023.594,Poznań,ul. Czarnucha,21A,,,,,1/1,True,2023-08-16,51.88,Naramowice,1,2023,2023.5833333333333,7373.54352,0,0,0,1,0,0,15
1.0,6.0,41.0,5809680.88,6425462.749,Poznań,ul. Stanisława Barańczaka,1B,,,,,1/1,True,2023-09-13,41.0,Jeżyce,0,2023,2023.6666666666667,9015.6864,0,0,0,1,0,0,8
1.0,5.0,31.68,5809680.88,6425462.749,Poznań,ul. Stanisława Barańczaka,1,,,,,1/1,True,2023-09-13,31.68,Jeżyce,0,2023,2023.6666666666667,9391.34,0,0,0,1,0,0,8
1.0,4.0,32.69,5809680.88,6425462.749,Poznań,ul. Stanisława Barańczaka,1B,,,,,1/1,True,2023-09-12,32.69,Jeżyce,0,2023,2023.6666666666667,9230.3456,0,0,0,1,0,0,8
1.0,2.0,41.27,5809680.88,6425462.749,Poznań,ul. Stanisława Barańczaka,1A,,,,,1/1,True,2023-09-13,41.27,Jeżyce,0,2023,2023.6666666666667,8479.0384,0,0,0,1,0,0,8
1.0,2.0,42.19,5809357.555,6425341.547,Poznań,ul. Jana Henryka Dąbrowskiego,58,,,,,1/1,True,2023-11-08,42.19,Jeżyce,0,2023,2023.8333333333333,10252.688150739039,0,0,0,1,0,0,8
2.0,2.0,43.17,5809357.555,6425341.547,Poznań,ul. Jana Henryka Dąbrowskiego,58,,,,,1/1,True,2023-11-08,43.17,Jeżyce,0,2023,2023.8333333333333,10040.568471327311,0,0,0,1,0,0,8
1.0,5.0,43.0,5809680.88,6425462.749,Poznań,ul. Stanisława Barańczaka,1C,,,,,1/1,True,2023-09-13,43.0,Jeżyce,0,2023,2023.6666666666667,9517.91903895814,0,0,0,1,0,0,8
3.0,3.0,48.95,5813347.34,6429028.889,Poznań,ul. Czarnucha,23A,,,,,1/1,True,2023-08-17,46.13,Naramowice,1,2023,2023.5833333333333,7588.20272,0,0,0,1,0,0,15
2.0,4.0,63.17,5809680.88,6425462.749,Poznań,ul. Stanisława Barańczaka,1B,,,,,1/1,True,2023-09-13,63.17,Jeżyce,0,2023,2023.6666666666667,10165.936211036886,0,0,0,1,0,0,8
,1.0,139.25,5809680.88,6425462.749,Poznań,ul. Stanisława Barańczaka,1,,,,,1/1,True,2023-09-13,139.25,Jeżyce,0,2023,2023.6666666666667,10429.217232,0,0,0,1,0,0,8
2.0,2.0,43.99,5808426.49,6422496.138,Poznań,ul. Świerzawska,4,,,,,1/1,True,2023-11-02,43.99,Ławica,0,2023,2023.8333333333333,9267.145574786999,0,0,0,1,0,0,37
2.0,4.0,41.82,5812981.35,6423013.56,Poznań,ul. Tadeusza Mikke,10,,,,,1/1,True,2023-09-26,41.82,,0,2023,2023.6666666666667,12062.389287422286,0,0,0,1,0,0,-1
3.0,3.0,118.28,5807955.996,6425353.816,Poznań,ul. Śniadeckich,10C,,,,,1/1,True,2023-10-12,118.28,Łazarz,0,2023,2023.75,17399.046468718298,0,0,0,1,0,0,38
,1.0,82.68,5809680.88,6425462.749,Poznań,ul. Stanisława Barańczaka,1,,,,,1/1,True,2023-09-13,82.68,Jeżyce,0,2023,2023.6666666666667,10429.217231999999,0,0,0,1,0,0,8
,1.0,82.55,5809680.88,6425462.749,Poznań,ul. Stanisława Barańczaka,1A,,,,,1/1,True,2023-09-13,82.55,Jeżyce,0,2023,2023.6666666666667,10429.217231999999,0,0,0,1,0,0,8
2.0,2.0,41.989999999999995,5808426.49,6422496.138,Poznań,ul. Świerzawska,4,,,,,1/1,True,2023-09-25,39.44,Ławica,1,2023,2023.6666666666667,9337.6752,0,0,0,1,0,0,37
2.0,2.0,34.82,5810322.985,6422862.314,Poznań,ul. Janusza Meissnera,6E,,,,,1/1,True,2023-08-25,34.82,Wola,0,2023,2023.5833333333333,8602.517066839748,0,0,0,1,0,0,35
3.0,5.0,48.06,5806423.095,6429180.655,Poznań,ul. Morzyczańska,3,,,,,1/1,True,2023-09-27,48.06,Żegrze,0,2023,2023.6666666666667,10964.94915622139,0,0,0,1,0,0,40
4.0,4.0,95.11,5809680.88,6425462.749,Poznań,ul. Stanisława Barańczaka,1A,,,,,1/1,True,2023-09-13,95.11,Jeżyce,0,2023,2023.6666666666667,8621.34970823678,0,0,0,1,0,0,8
2.0,2.0,49.53,5813295.755,6429023.594,Poznań,ul. Czarnucha,21A,,,,,1/1,True,2023-08-17,46.39,Naramowice,1,2023,2023.5833333333333,7888.7256,0,0,0,1,0,0,15
2.0,1.0,32.92,5807067.785,6423503.21,Poznań,ul. Macieja Palacza,97,,,,,1/1,True,2023-10-25,32.92,Grunwald Południe,0,2023,2023.75,12450.2336,0,0,0,1,0,0,3
3.0,3.0,60.16,5809680.88,6425462.749,Poznań,ul. Stanisława Barańczaka,1B,,,,,1/1,True,2023-08-31,60.16,Jeżyce,0,2023,2023.5833333333333,9298.351996667554,0,0,0,1,0,0,8
2.0,2.0,44.01,5807067.785,6423503.21,Poznań,ul. Macieja Palacza,97,,,,,1/1,True,2023-10-24,44.01,Grunwald Południe,0,2023,2023.75,13694.183664000002,0,0,0,1,0,0,3
1.0,2.0,59.11,5807955.996,6425353.816,Poznań,ul. Śniadeckich,10A,,,,,1/1,True,2023-10-20,59.11,Łazarz,0,2023,2023.75,13952.848,0,0,0,1,0,0,38
4.0,2.0,123.81,5807955.996,6425353.816,Poznań,ul. Śniadeckich,10A,,,,,1/1,True,2023-10-26,119.38,Łazarz,1,2023,2023.75,14324.542326315297,0,0,0,1,0,0,38
4.0,6.0,65.12,5813295.755,6429023.594,Poznań,ul. Czarnucha,21A,,,,,1/1,True,2023-08-17,65.12,Naramowice,0,2023,2023.5833333333333,8693.6976,0,0,0,1,0,0,15
5.0,1.0,111.63,5816401.59,6419387.563,Poznań,ul. Golęczewska,15,,,,,1/1,True,2023-09-21,111.63,Kiekrz,0,2023,2023.6666666666667,7066.850846546628,0,0,0,1,0,0,10
2.0,2.0,40.44,5813347.34,6429028.889,Poznań,ul. Czarnucha,23A,,,,,1/1,True,2023-08-17,38.37,Naramowice,1,2023,2023.5833333333333,7480.873120000002,0,0,0,1,0,0,15
3.0,3.0,60.95,5807955.996,6425353.816,Poznań,ul. Śniadeckich,10C,,,,,1/1,True,2023-10-11,60.95,Łazarz,0,2023,2023.75,16743.4176,0,0,0,1,0,0,38
2.0,3.0,31.72,5809015.53,6425911.728,Poznań,ul. Juliusza Słowackiego,7,,,,,1/1,True,2023-10-23,31.72,Jeżyce,0,2023,2023.75,14765.457252211856,0,0,0,1,0,0,8
3.0,5.0,60.53,5806297.218,6421237.688,Poznań,ul. Ziębicka,14B,,,,,1/1,True,2023-10-05,60.53,Junikowo,0,2023,2023.75,13440.581001156452,0,0,0,1,0,0,9
