liczba_izb,nr_kondygnacji,calkowita_powierzchnia,wsp_x,wsp_y,adres_miejscowosc,adres_ulica,adres_numer,bud_id,dzialka_id,dzialka_mpzp,dzialka_sposob_uzytkowania,n_udzial_str,is_market_transaction,data_dokumentu,powierzchnia_final,osiedle,ma_pomieszczenia_przynalezne,rok,rok_miesiac_float,cena_za_m2,odl_do_centrum,metry_na_izbe,wibor_3m,srednie_wynagrodzenie,is_pierwotny,is_uzytkowanie_wieczyste,sprzedajacy_firma,sprzedajacy_jst,sprzedajacy_osoba,is_wielorodzinny,osiedle_cat
3.0,1.0,38.1,5806610.018,6423919.288,Poznań,ul. Augustyna Kordeckiego,2,,,,,1/1,True,2011-01-10,36.0,Górczyn,1,2011,2011.0,9023.623170299576,3.8871331044783974,12.0,3.95,3311.0,0,0,1,0,0,0,5
3.0,11.0,47.4,5806632.372,6422357.564,Poznań,ul. Jawornicka,7f,,,,,1/1,True,2011-01-05,45.6,Grunwald Południe,1,2011,2011.0,6767.717377724681,5.285852726939695,15.200000000000001,3.95,3311.0,0,0,1,0,0,0,3
3.0,5.0,46.7,5809033.518,6424320.642,Poznań,ul. Bukowska,76,,,,,1/1,True,2011-01-05,46.7,Stary Grunwald,0,2011,2011.0,13216.612951787813,2.9891373178231793,15.566666666666668,3.95,3311.0,0,0,1,0,0,0,29
4.0,1.0,47.5,5806564.43,6428399.205,Poznań,os. Rzeczypospolitej,10,,,,,1/1,True,2011-01-14,47.5,Rataje,0,2011,2011.0,8890.643460421476,2.302511477818236,11.875,3.95,3311.0,0,0,1,0,0,0,24
5.0,1.0,89.0,5810882.929,6427285.956,Poznań,ul. Pszczelna,1,,,,,1/1,True,2011-01-11,89.0,Stare Winogrady,0,2011,2011.0,7847.510487429069,2.3095976410514027,17.8,3.95,3311.0,0,0,1,0,0,0,27
3.0,9.0,39.59,5806643.657,6424948.43,Poznań,ul. Romana Dmowskiego,62,,,,,1/1,True,2011-01-11,37.5,Łazarz,1,2011,2011.0,7536.530071834205,3.022039714613137,12.5,3.95,3311.0,0,0,1,0,0,0,38
4.0,4.0,50.2,5806837.372,6424038.658,Poznań,ul. Krzysztofa Arciszewskiego,35l,,,,,1/1,True,2011-01-21,48.0,Łazarz,1,2011,2011.0,8459.64672215585,3.67179186606288,12.0,3.95,3311.0,0,0,1,0,0,0,38
2.0,4.0,47.2,5807817.792,6429491.534,Poznań,ul. Katowicka,25,,,,,1/1,True,2011-01-14,31.6,Rataje,1,2011,2011.0,17219.07762395233,2.3425810171086505,15.8,3.95,3311.0,0,0,1,0,0,0,24
4.0,7.0,68.54,5803680.464,6425416.411,Poznań,os. Dębina,4,,,,,1/1,True,2011-01-17,65.2,Zielony Dębiec,1,2011,2011.0,7348.993716915757,5.233701681366303,16.3,3.95,3311.0,0,0,1,0,0,0,36
4.0,3.0,86.1,5807478.917,6429543.293,Poznań,ul. Katowicka,79B,,,,,1/1,True,2011-01-05,68.2,Rataje,1,2011,2011.0,12384.327400880355,2.519291110449285,17.05,3.95,3311.0,0,0,1,0,0,0,24
2.0,6.0,33.4,5806019.507,6427775.26,Poznań,ul. Rataje,162,,,,,1/1,True,2011-01-18,33.4,Rataje,0,2011,2011.0,10455.515469778251,2.6025537889240438,16.7,3.95,3311.0,0,0,1,0,0,0,24
3.0,3.0,46.7,5807709.262,6429472.074,Poznań,ul. Katowicka,37,,,,,1/1,True,2011-01-26,46.7,Rataje,0,2011,2011.0,12660.123985396749,2.3616829884359727,15.566666666666668,3.95,3311.0,0,0,1,0,0,0,24
3.0,6.0,46.7,5806019.507,6427775.26,Poznań,ul. Rataje,160,,,,,1/1,True,2011-01-14,46.7,Rataje,0,2011,2011.0,12034.0738982068,2.6025537889240438,15.566666666666668,3.95,3311.0,0,0,1,0,0,0,24
3.0,3.0,60.4,5807817.792,6429491.534,Poznań,ul. Katowicka,25,,,,,1/1,True,2011-01-24,44.9,Rataje,1,2011,2011.0,12480.334050681593,2.3425810171086505,14.966666666666667,3.95,3311.0,0,0,1,0,0,0,24
4.0,1.0,47.2,5806756.202,6429234.704,Poznań,os. Oświecenia,83,,,,,1/1,True,2011-01-31,47.2,Rataje,0,2011,2011.0,9084.800276538894,2.6731719868222608,11.8,3.95,3311.0,0,0,1,0,0,0,24
5.0,1.0,61.2,5806281.778,6428506.246,Poznań,os. Rzeczypospolitej,105,,,,,1/1,True,2011-02-03,61.2,Rataje,0,2011,2011.0833333333333,7696.619762902578,2.6018110068300166,12.24,4.0,3311.0,0,0,1,0,0,0,24
3.0,13.0,57.2,5805506.179,6429901.648,Poznań,os. Orła Białego,74,,,,,1/1,True,2011-01-31,57.2,Żegrze,0,2011,2011.0,7382.964412063288,4.03873306678755,19.066666666666666,3.95,3311.0,0,0,1,0,0,0,40
2.0,7.0,32.43,5806554.277,6422590.751,Poznań,ul. Galileusza,4d,,,,,1/1,True,2011-01-24,30.9,Grunwald Południe,1,2011,2011.0,9566.792720356443,5.100089239187881,15.45,3.95,3311.0,0,0,1,0,0,0,3
2.0,3.0,30.75,5807201.05,6429623.366,Poznań,ul. Milczańska,12I,,,,,1/1,True,2011-01-17,30.75,Rataje,0,2011,2011.0,15582.256596517314,2.720673443586733,15.375,3.95,3311.0,0,0,1,0,0,0,24
4.0,11.0,64.41,5805684.327,6429319.064,Poznań,os. Stare Żegrze,8,,,,,1/1,True,2011-01-13,64.41,Żegrze,0,2011,2011.0,6430.434769705798,3.5395200054763265,16.1025,3.95,3311.0,0,0,1,0,0,0,40
4.0,8.0,94.30000000000001,5807393.279,6429625.391,Poznań,ul. Katowicka,89D,,,,,1/1,True,2011-01-28,72.4,Rataje,1,2011,2011.0,14178.554859851927,2.6307676174460313,18.1,3.95,3311.0,0,0,1,0,0,0,24
